Date,ret,equity,spy_equity
2012-01-04,0.0,1.0,1.0
2012-01-05,0.0,1.0,1.0026624476386312
2012-01-06,0.0,1.0,1.0000786428286106
2012-01-09,0.0,1.0,1.0025062267779286
2012-01-10,0.0,1.0,1.01119831287555
2012-01-11,0.0,1.0,1.0117463788552097
2012-01-12,0.0,1.0,1.014174038861422
2012-01-13,0.0,1.0,1.0089274061282991
2012-01-17,0.0,1.0,1.0128428150421063
2012-01-18,0.0,1.0,1.0240407476331852
2012-01-19,0.0,1.0,1.0294444378528467
2012-01-20,0.0,1.0,1.0332809757673604
2012-01-23,0.0,1.0,1.0306189844700944
2012-01-24,0.0,1.0,1.0294444378528465
2012-01-25,0.0,1.0,1.0380583374632222
2012-01-26,0.0,1.0,1.032733137958383
2012-01-27,0.0,1.0,1.0322634866366511
2012-01-30,0.0,1.0,1.0287392383297536
2012-01-31,0.0,1.0,1.0283478495521612
2012-02-01,0.0,1.0,1.0373532139970236
2012-02-02,0.0,1.0,1.0389978682773686
2012-02-03,0.0,1.0,1.053562839575018
2012-02-06,0.0,1.0,1.052858552734656
2012-02-07,0.0,1.0,1.055520772202604
2012-02-08,0.0,1.0,1.0586534035612267
2012-02-09,0.0,1.0,1.0599843992098597
2012-02-10,0.0,1.0,1.052153733496034
2012-02-13,0.0,1.0,1.0599843992098597
2012-02-14,0.0,1.0,1.058653403561227
2012-02-15,0.0,1.0,1.0537197449477682
2012-02-16,0.0,1.0,1.0653880894295211
2012-02-17,0.0,1.0,1.0682072903271143
2012-02-21,0.0,1.0,1.068676485307481
2012-02-22,0.0,1.0,1.065231184056771
2012-02-23,0.0,1.0,1.0699293705257629
2012-02-24,0.0,1.0,1.072278996158518
2012-02-27,0.0,1.0,1.0740795670719887
2012-02-28,0.0,1.0,1.0772125787150821
2012-02-29,0.0,1.0,1.072983967510928
2012-03-01,0.0,1.0,1.0785434983068212
2012-03-02,0.0,1.0,1.0752548742581787
